asn_organization,last_seen_date,latitude,longitude,validator_count
Oracle Corporation,2025-03-04 14:44:41.000 UTC,48.9,2.3,6
"Amazon.com, Inc.",2025-03-04 14:44:11.000 UTC,50.1,8.7,1
Oracle Corporation,2025-03-04 14:44:11.000 UTC,48.9,2.3,56
"DigitalOcean, LLC",2025-03-04 14:43:42.000 UTC,37.4,-122.0,61
Skoed Limited,2025-03-04 14:43:41.000 UTC,35.9,14.5,61
OVH SAS,2025-03-04 14:43:11.000 UTC,50.1,8.7,1
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,2025-03-04 14:42:41.000 UTC,48.2,16.4,1
OVH SAS,2025-03-04 14:42:13.000 UTC,-33.9,151.2,22
MEVSPACE sp. z o.o.,2025-03-04 14:42:11.000 UTC,52.2,21.0,20
Google LLC,2025-03-04 14:41:43.000 UTC,37.6,127.0,1
OVH SAS,2025-03-04 14:41:42.000 UTC,45.3,-73.9,9
OVH SAS,2025-03-04 14:41:42.000 UTC,1.3,103.9,1
OVH SAS,2025-03-04 14:41:42.000 UTC,45.5,-122.7,2
"Amazon.com, Inc.",2025-03-04 14:41:41.000 UTC,53.3,-6.2,5
OVH SAS,2025-03-04 14:41:41.000 UTC,48.6,7.7,1
"Amazon.com, Inc.",2025-03-04 14:41:13.000 UTC,35.7,139.7,1
LeaseWeb Netherlands B.V.,2025-03-04 14:41:11.000 UTC,52.3,4.6,6
OVH SAS,2025-03-04 14:40:42.000 UTC,45.5,-122.7,2
OVH SAS,2025-03-04 14:40:42.000 UTC,45.5,-122.7,2
MEVSPACE sp. z o.o.,2025-03-04 14:40:41.000 UTC,52.2,21.0,20
IONOS SE,2025-03-04 14:40:41.000 UTC,39.6,2.7,16
WIIT AG,2025-03-04 14:40:11.000 UTC,51.2,6.8,2
SCALEWAY S.A.S.,2025-03-04 14:40:11.000 UTC,48.9,2.3,61
SCALEWAY S.A.S.,2025-03-04 14:40:11.000 UTC,52.4,4.9,20
Google LLC,2025-03-04 14:39:43.000 UTC,37.6,127.0,2
"Amazon.com, Inc.",2025-03-04 14:39:42.000 UTC,40.0,-83.0,16
Google LLC,2025-03-04 14:39:41.000 UTC,53.2,6.6,1
"The Constant Company, LLC",2025-03-04 14:39:41.000 UTC,50.1,8.7,4
OVH SAS,2025-03-04 14:39:41.000 UTC,50.6,3.1,44
OVH SAS,2025-03-04 14:39:41.000 UTC,50.1,8.7,1
"Amazon.com, Inc.",2025-03-04 14:39:12.000 UTC,40.0,-83.0,1
Google LLC,2025-03-04 14:38:43.000 UTC,37.6,127.0,8
Hetzner Online GmbH,2025-03-04 14:38:41.000 UTC,60.2,24.9,3
Oracle Corporation,2025-03-04 14:38:41.000 UTC,39.0,-77.5,46
OVH SAS,2025-03-04 14:38:41.000 UTC,52.2,21.1,2
"Amazon.com, Inc.",2025-03-04 14:38:13.000 UTC,35.7,139.7,3
MEVSPACE sp. z o.o.,2025-03-04 14:38:11.000 UTC,52.2,21.0,19
"Amazon.com, Inc.",2025-03-04 14:35:42.000 UTC,1.3,103.9,2
Leaseweb UK Limited,2025-03-04 14:34:41.000 UTC,51.5,-0.1,2
netcup GmbH,2025-03-04 14:34:41.000 UTC,49.4,11.0,1
Google LLC,2025-03-04 14:33:41.000 UTC,53.2,6.6,1
"Amazon.com, Inc.",2025-03-04 14:33:12.000 UTC,40.0,-83.0,1
"WebNX, Inc.",2025-03-04 14:32:42.000 UTC,40.8,-111.9,1
Free SAS,2025-03-04 14:31:48.000 UTC,48.9,2.5,3
"Amazon.com, Inc.",2025-03-04 14:30:42.000 UTC,40.0,-83.0,1
"Amazon.com, Inc.",2025-03-04 14:30:12.000 UTC,39.0,-77.5,1
"Amazon.com, Inc.",2025-03-04 14:28:12.000 UTC,45.8,-119.7,8
Free SAS,2025-03-04 14:28:11.000 UTC,48.9,2.3,1
Charter Communications Inc,2025-03-04 14:26:46.000 UTC,25.9,-97.5,1
"DigitalOcean, LLC",2025-03-04 14:26:41.000 UTC,50.1,8.7,1
"Amazon.com, Inc.",2025-03-04 14:22:12.000 UTC,45.8,-119.7,3
OVH SAS,2025-03-04 14:22:12.000 UTC,19.1,72.9,1
Google LLC,2025-03-04 14:22:11.000 UTC,61.1,28.2,3
OVH SAS,2025-03-04 14:19:41.000 UTC,50.1,8.7,1
Hetzner Online GmbH,2025-03-04 14:19:11.000 UTC,60.2,24.9,1
"DigitalOcean, LLC",2025-03-04 14:14:11.000 UTC,50.1,8.7,22
Verizon Business,2025-03-04 14:11:42.000 UTC,41.0,-74.0,1
OVH SAS,2025-03-04 14:10:11.000 UTC,39.0,-77.5,1
Hetzner Online GmbH,2025-03-04 14:05:41.000 UTC,60.2,24.9,1
Datacamp Limited,2025-03-04 14:04:41.000 UTC,50.1,8.7,1
OVH SAS,2025-03-04 14:03:41.000 UTC,50.6,3.1,1
"Amazon.com, Inc.",2025-03-04 14:01:41.000 UTC,53.3,-6.2,6
"Amazon.com, Inc.",2025-03-04 14:01:12.000 UTC,40.0,-83.0,1
EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,2025-03-04 13:59:12.000 UTC,25.2,55.4,1
Hetzner Online GmbH,2025-03-04 13:55:11.000 UTC,49.5,11.1,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2025-03-04 13:53:11.000 UTC,38.2,21.7,2
"DigitalOcean, LLC",2025-03-04 13:47:11.000 UTC,51.5,-0.1,38
"Comcast Cable Communications, LLC",2025-03-04 13:42:12.000 UTC,39.7,-105.0,1
"Amazon.com, Inc.",2025-03-04 13:40:41.000 UTC,53.3,-6.2,5
Latitude.sh,2025-03-04 13:40:41.000 UTC,51.5,-0.1,41
"DigitalOcean, LLC",2025-03-04 13:34:41.000 UTC,52.4,4.9,39
